nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,13960,11429,11886,A2,A8,A14,12425,1101.3,0.5719,0.078,plate_AL_7
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,10009,9599,9228,A3,A9,A15,9612,319,0.3726,0.0226,plate_AL_7
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,9265,10331,8730,A4,A10,A16,9442,665.5,0.3605,0.0471,plate_AL_7
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,6672,7364,6751,A5,A11,A17,6929,309.3,0.1825,0.0219,plate_AL_7
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,4259,4356,4444,A6,A12,A18,4353,75.6,0,0.0054,plate_AL_7
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,5221,4918,4938,A7,A13,A19,5025.7,138.4,0.0477,0.0098,plate_AL_7
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,50877,51895,50984,B2,B3,B4,51252,456.8,3.3227,0.0324,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,53371,49754,49596,B5,B9,B13,50907,1743.5,3.2983,0.1235,plate_AL_7
0.033,0.034,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,43096,46706,46832,B6,B10,B14,45544.7,1732.2,2.9184,0.1227,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,43064,44212,46751,B7,B11,B15,44675.7,1540.5,2.8568,0.1091,plate_AL_7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,44898,46419,47691,B8,B12,B16,46336,1141.7,2.9744,0.0809,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,46496,43737,40992,B17,B20,B23,43741.7,2247,2.7906,0.1592,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,43583,43893,41232,B18,B21,C2,42902.7,1188.1,2.7312,0.0842,plate_AL_7
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,45387,45190,45407,B19,B22,C3,45328,97.9,2.903,0.0069,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,46208,46944,44988,C4,C8,C12,46046.7,806.6,2.9539,0.0571,plate_AL_7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,45707,47833,46892,C5,C9,C13,46810.7,869.8,3.0081,0.0616,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,40688,43396,43866,C6,C10,C14,42650,1400.5,2.7133,0.0992,plate_AL_7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,46765,44901,47488,C7,C11,C15,46384.7,1089.8,2.9779,0.0772,plate_AL_7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,42605,43508,39356,C16,C17,C18,41823,1783,2.6547,0.1263,plate_AL_7
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,47409,45171,44922,C19,C21,C23,45834,1118.3,2.9389,0.0792,plate_AL_7
0.099,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,43935,47638,32953,C20,C22,D2,41508.7,6235.8,2.6324,0.4418,plate_AL_7
0.165,0.034,50,0.13,10,2,1.5,0.1,9,0.75,0.1,4,50,0.225,80,10,38973,43742,42291,D3,D4,D5,41668.7,1996,2.6438,0.1414,plate_AL_7
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,42069,45367,-1,D6,D12,D18,43718,1649,2.7889,0.1168,plate_AL_7
0.165,0.034,50,0.26,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,41779,43210,43632,D7,D13,D19,42873.7,793,2.7291,0.0562,plate_AL_7
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,80,10,41104,43256,39467,D8,D14,D20,41275.7,1551.6,2.6159,0.1099,plate_AL_7
0.33,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,44246,44803,41501,D9,D15,D21,43516.7,1443.3,2.7747,0.1023,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.375,80,10,42888,36365,37225,D10,D16,D22,38826,2893.6,2.4424,0.205,plate_AL_7
0.33,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,41011,45001,-1,D11,D17,D23,43006,1995,2.7385,0.1413,plate_AL_7
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,38454,39300,42186,E2,E3,E4,39980,1597.7,2.5241,0.1132,plate_AL_7
0.165,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,42810,37434,43028,E5,E7,E9,41090.7,2587.2,2.6028,0.1833,plate_AL_7
0.099,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.225,80,10,38780,41610,44859,E6,E8,E10,41749.7,2483.7,2.6495,0.176,plate_AL_7
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,41940,46873,44186,E11,E14,E17,44333,2016.6,2.8325,0.1429,plate_AL_7
0.099,0.0204,50,0.26,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,38319,43006,41650,E12,E15,E18,40991.7,1969.3,2.5958,0.1395,plate_AL_7
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.375,80,10,41373,45914,40839,E13,E16,E19,42708.7,2277,2.7174,0.1613,plate_AL_7
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,37713,42111,30949,E20,E22,F2,36924.3,4590.9,2.3076,0.3253,plate_AL_7
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,80,10,36958,34315,37063,E21,E23,F3,36112,1271.4,2.2501,0.0901,plate_AL_7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,42955,43683,47109,F4,F6,F8,44582.3,1811.2,2.8502,0.1283,plate_AL_7
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,42244,42275,40486,F5,F7,F9,41668.3,836.1,2.6437,0.0592,plate_AL_7
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,43532,41218,42857,F10,F14,F18,42535.7,971.6,2.7052,0.0688,plate_AL_7
0.165,0.0068,50,0.13,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,42386,41900,38932,F11,F15,F19,41072.7,1526.6,2.6015,0.1082,plate_AL_7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.225,80,10,43106,40742,42026,F12,F16,F20,41958,966.3,2.6642,0.0685,plate_AL_7
0.033,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,80,10,40961,39084,40389,F13,F17,F21,40144.7,785.5,2.5358,0.0557,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,41295,41769,43300,F22,G2,G4,42121.3,855.6,2.6758,0.0606,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.225,80,10,40194,41812,40103,F23,G3,G5,40703,785.1,2.5753,0.0556,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,42358,44096,42370,G6,G11,G16,42941.3,816.5,2.7339,0.0578,plate_AL_7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,41684,40168,44455,G7,G12,G17,42102.3,1775,2.6745,0.1258,plate_AL_7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,43133,42048,41977,G8,G13,G18,42386,529,2.6946,0.0375,plate_AL_7
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.225,80,10,38714,37899,42100,G9,G14,G19,39571,1819,2.4951,0.1289,plate_AL_7
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,80,10,38539,39362,35236,G10,G15,G20,37712.3,1783,2.3635,0.1263,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,39762,41083,37007,G21,G23,H3,39284,1698,2.4748,0.1203,plate_AL_7
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.225,80,10,33784,34436,36426,G22,H2,H4,34882,1123.8,2.1629,0.0796,plate_AL_7
0.033,0.068,50,0.078,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,35285,32640,36071,H5,H6,H7,34665.3,1467.6,2.1476,0.104,plate_AL_7
0.33,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,37151,36018,35745,H8,H15,H22,36304.7,608.7,2.2637,0.0431,plate_AL_7
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,38090,38563,33307,H9,H16,H23,36653.3,2374.1,2.2884,0.1682,plate_AL_7
0.099,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,35949,33844,30632,H10,H17,I2,33475,2186.3,2.0632,0.1549,plate_AL_7
0.165,0.034,50,0.026,10,2,1.5,0.1,9,0.45,0.2,4,50,0.225,80,10,38200,35909,30719,H11,H18,I3,34942.7,3129.6,2.1672,0.2217,plate_AL_7
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.45,0.06,4,50,0.225,80,10,36413,35306,29016,H12,H19,I4,33578.3,3257.6,2.0706,0.2308,plate_AL_7
0.099,0.068,50,0.078,10,2,1.5,0.1,9,0.45,0.1,4,50,0.225,80,10,37050,35680,28854,H13,H20,I5,33861.3,3584.6,2.0906,0.254,plate_AL_7
0.165,0.0204,50,0.26,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,34642,32419,27255,H14,H21,I6,31438.7,3094.4,1.919,0.2192,plate_AL_7
0.099,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,29281,27270,36541,I7,I11,I15,31030.7,3981.9,1.8901,0.2821,plate_AL_7
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.2,4,50,0.225,80,10,26565,26056,33741,I8,I12,I16,28787.3,3508.9,1.7311,0.2486,plate_AL_7
0.165,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,28607,38505,34750,I9,I13,I17,33954,4079.9,2.0972,0.2891,plate_AL_7
0.165,0.0204,50,0.26,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,26565,33473,33178,I10,I14,I18,31072,3189.2,1.893,0.2259,plate_AL_7
0.165,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.02,4,50,0.375,80,10,33120,31586,33415,I19,I20,I21,32707,801.8,2.0088,0.0568,plate_AL_7
0.165,0.0204,50,0.026,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,37414,29558,28339,I22,J2,J4,31770.3,4021.6,1.9425,0.2849,plate_AL_7
0.33,0.0204,50,0.13,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,34148,26803,26522,I23,J3,J5,29157.7,3530.6,1.7574,0.2501,plate_AL_7
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,26688,27800,28837,J6,J9,J12,27775,877.5,1.6594,0.0622,plate_AL_7
0.033,0.068,50,0.078,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,23053,25753,34718,J7,J10,J13,27841.3,4985.9,1.6641,0.3532,plate_AL_7
0.033,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.06,4,50,0.225,80,10,24473,25385,34285,J8,J11,J14,28047.7,4426.1,1.6787,0.3136,plate_AL_7
0.165,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,36797,33010,31349,J15,J20,K3,33718.7,2279.9,2.0805,0.1615,plate_AL_7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,35912,34323,32185,J16,J21,K4,34140,1527,2.1104,0.1082,plate_AL_7
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,33784,35168,32104,J17,J22,K5,33685.3,1252.8,2.0781,0.0888,plate_AL_7
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,35130,32823,31870,J18,J23,K6,33274.3,1368.6,2.049,0.097,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.375,80,10,33099,29882,31660,J19,K2,K7,31547,1315.8,1.9266,0.0932,plate_AL_7
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,34430,34012,33660,K8,K10,K12,34034,314.7,2.1028,0.0223,plate_AL_7
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,33410,33915,36790,K9,K11,K13,34705,1488.7,2.1504,0.1055,plate_AL_7
0.165,0.0204,50,0.13,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,35067,33032,30258,K14,K16,K18,32785.7,1971,2.0144,0.1396,plate_AL_7
0.165,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.225,80,10,34506,34981,32024,K15,K17,K19,33837,1296.6,2.0889,0.0919,plate_AL_7
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,33188,33799,31279,K20,K23,L4,32755.3,1073.3,2.0123,0.076,plate_AL_7
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,33031,32847,33441,K21,L2,L5,33106.3,248.3,2.0371,0.0176,plate_AL_7
0.033,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,30995,31010,31766,K22,L3,L6,31257,360,1.9061,0.0255,plate_AL_7
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,33575,35043,35242,L7,L11,L15,34620,743.4,2.1444,0.0527,plate_AL_7
0.033,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,32045,30761,33328,L8,L12,L16,32044.7,1048,1.9619,0.0742,plate_AL_7
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,0.45,0.06,4,50,0.225,80,10,33295,31567,30480,L9,L13,L17,31780.7,1159.1,1.9432,0.0821,plate_AL_7
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,32029,31972,32414,L10,L14,L18,32138.3,196.3,1.9685,0.0139,plate_AL_7
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.06,4,50,0.225,80,10,33465,32569,31441,L19,L20,L21,32491.7,828.1,1.9936,0.0587,plate_AL_7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,33176,36840,37217,L22,L23,M2,35744.3,1822.6,2.224,0.1291,plate_AL_7
0.33,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,25671,27356,26762,M3,M4,M5,26596.3,697.8,1.5759,0.0494,plate_AL_7
0.099,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.2,4,50,0.075,80,10,26005,25105,25737,M6,M7,M8,25615.7,377.3,1.5064,0.0267,plate_AL_7
0.33,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,26630,26536,30384,M9,M11,M13,27850,1792.2,1.6647,0.127,plate_AL_7
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,26003,26829,26205,M10,M12,M14,26345.7,351.6,1.5581,0.0249,plate_AL_7
0.165,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,25569,25850,26015,M15,M16,M17,25811.3,184.1,1.5203,0.013,plate_AL_7
0.33,0.0204,50,0.13,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,25854,24875,27581,M18,M20,M22,26103.3,1118.7,1.541,0.0793,plate_AL_7
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,24859,25670,26588,M19,M21,M23,25705.7,706.3,1.5128,0.05,plate_AL_7
0.099,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.06,4,50,0.225,80,10,27910,26696,24183,N2,N4,N6,26263,1552,1.5523,0.11,plate_AL_7
0.165,0.0204,50,0.13,10,2,1.5,0.1,9,0.15,0.06,4,50,0.225,80,10,27571,25408,25281,N3,N5,N7,26086.7,1050.9,1.5398,0.0745,plate_AL_7
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,26372,27106,27885,N8,N9,N10,27121,617.8,1.6131,0.0438,plate_AL_7
0.165,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,27366,27663,28140,N11,N14,N17,27723,318.8,1.6557,0.0226,plate_AL_7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,27794,27849,26283,N12,N15,N18,27308.7,725.6,1.6264,0.0514,plate_AL_7
0.165,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.225,80,10,27777,28530,26589,N13,N16,N19,27632,799,1.6493,0.0566,plate_AL_7
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,28282,26231,28915,N20,N21,N22,27809.3,1145.6,1.6618,0.0812,plate_AL_7
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,26195,26871,25538,N23,O3,O5,26201.3,544.2,1.5479,0.0386,plate_AL_7
0.033,0.034,50,0.13,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,26016,24573,24624,O2,O4,O6,25071,668.5,1.4678,0.0474,plate_AL_7
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,28554,26910,28804,O7,O9,O11,28089.3,840.1,1.6817,0.0595,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,26467,28387,27009,O8,O10,O12,27287.7,808.2,1.6249,0.0573,plate_AL_7
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,24675,25198,24299,O13,O14,O15,24724,368.6,1.4433,0.0261,plate_AL_7
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,26388,27218,24587,O16,O18,O20,26064.3,1098.2,1.5382,0.0778,plate_AL_7
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,25110,25867,24017,O17,O19,O21,24998,759.4,1.4627,0.0538,plate_AL_7
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10,16106,18547,16302,P2,P9,P16,16985,1107.4,0.895,0.0785,plate_AL_7
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10,18049,21327,16027,P3,P10,P17,18467.7,2183.9,1,0.1547,plate_AL_7
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,40,10,10251,10160,11064,P4,P11,P18,10491.7,406.4,0.4349,0.0288,plate_AL_7
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10,19212,19146,16380,P5,P12,P19,18246,1319.7,0.9843,0.0935,plate_AL_7
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,39169,35843,34050,P6,P13,P20,36354,2120.8,2.2672,0.1503,plate_AL_7
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,39769,33248,32623,P7,P14,P21,35213.3,3231.4,2.1864,0.2289,plate_AL_7
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,34022,38413,-1,P8,P15,P22,36217.5,2195.5,2.2575,0.1555,plate_AL_7
