nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,1.2548,0.0361
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.6355,0.0481
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,1.0895,0.0379
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.6913,0.0981
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.3813,0.023
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,2.0054,0.0919
0.033,0.0204,0.026,0.75,0.3,3.0,0.15,0.02,1.2,0.075,4.0,1.3101,0.102
0.099,0.034,0.13,0.75,0.1,3.0,0.15,0.02,0.4,0.225,4.0,1.1922,0.0357
0.033,0.0068,0.026,0.45,0.1,15.0,0.15,0.06,0.4,0.075,20.0,1.3601,0.01
0.099,0.034,0.13,0.15,0.3,3.0,0.15,0.06,1.2,0.225,4.0,1.5152,0.1503
0.165,0.0068,0.078,0.75,0.3,3.0,0.15,0.02,1.2,0.075,20.0,1.6515,0.0123
0.033,0.0204,0.078,0.45,0.1,15.0,0.15,0.02,1.2,0.075,20.0,1.3782,0.0609
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,1.2,0.075,20.0,1.7372,0.0145
0.033,0.0068,0.078,0.45,0.3,15.0,0.15,0.06,1.2,0.075,20.0,0.9725,0.0189
0.033,0.0068,0.026,0.75,0.3,9.0,0.15,0.06,2.0,0.225,20.0,1.3501,0.0429
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.9043,0.0503
0.165,0.034,0.026,0.45,0.5,9.0,0.15,0.1,2.0,0.225,4.0,1.0748,0.0316
0.033,0.034,0.026,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.5749,0.0198
0.033,0.0068,0.026,0.45,0.3,15.0,0.15,0.1,2.0,0.225,20.0,1.1257,0.061
0.165,0.0068,0.078,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.4383,0.0929
0.165,0.0068,0.078,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.6446,0.0677
0.099,0.034,0.13,0.75,0.3,15.0,0.15,0.06,1.2,0.075,20.0,1.2426,0.0678
0.165,0.0204,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.5097,0.0408
0.099,0.034,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.3809,0.0428
0.165,0.034,0.078,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.7998,0.1492
0.033,0.0204,0.13,0.75,0.3,15.0,0.15,0.1,2.0,0.075,20.0,1.2583,0.0973
0.165,0.034,0.078,0.75,0.3,15.0,0.15,0.02,2.0,0.075,20.0,1.2354,0.0922
0.099,0.034,0.078,0.75,0.3,15.0,0.15,0.06,2.0,0.225,20.0,1.3237,0.1071
0.033,0.0068,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,2.0125,0.0673
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,2.0211,0.1715
0.099,0.034,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,2.0118,0.0334
0.033,0.0068,0.26,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,1.6118,0.0147
0.033,0.034,0.13,1.5,0.3,9.0,0.15,0.02,4.0,0.075,40.0,1.7941,0.1189
0.165,0.0204,0.026,1.5,0.3,9.0,0.15,0.06,4.0,0.075,40.0,1.861,0.2421
0.165,0.0068,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,1.8965,0.313
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,2.2083,0.0119
0.099,0.0068,0.026,1.5,0.3,9.0,0.15,0.2,4.0,0.075,40.0,2.1366,0.0849
0.033,0.034,0.026,0.75,0.5,3.0,0.45,0.02,2.0,0.075,4.0,1.6851,0.0298
0.033,0.0204,0.026,0.75,0.3,3.0,0.45,0.02,1.2,0.075,20.0,1.9843,0.1512
0.033,0.0204,0.026,1.5,1.0,9.0,0.15,0.1,4.0,0.075,40.0,0.7243,0.1188
0.033,0.034,0.078,0.75,0.5,3.0,0.45,0.1,0.4,0.075,12.0,1.7188,0.0987
0.033,0.034,0.026,0.75,0.1,15.0,0.45,0.02,0.4,0.075,20.0,1.4023,0.0314
0.033,0.0204,0.026,0.75,0.1,15.0,0.45,0.02,1.2,0.075,20.0,1.6075,0.0441
0.165,0.068,0.026,1.5,0.5,9.0,0.15,0.02,4.0,0.225,40.0,1.5573,0.0297
0.165,0.0204,0.078,0.45,0.3,9.0,0.45,0.1,0.4,0.225,12.0,1.2848,0.0256
0.033,0.034,0.026,0.75,0.5,9.0,0.45,0.02,1.2,0.075,20.0,1.011,0.0095
0.099,0.034,0.026,0.75,0.1,15.0,0.45,0.02,1.2,0.075,20.0,1.6238,0.0284
0.165,0.068,0.026,1.5,0.5,9.0,0.15,0.1,4.0,0.225,40.0,1.5922,0.0644
0.099,0.068,0.026,1.5,1.0,9.0,0.15,0.06,4.0,0.225,40.0,0.6724,0.0796
0.033,0.0068,0.13,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.7283,0.0632
0.099,0.0068,0.078,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.8257,0.0248
0.165,0.0068,0.13,0.75,0.1,9.0,0.45,0.02,2.0,0.075,20.0,1.8024,0.0187
0.033,0.034,0.078,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.7138,0.0453
0.099,0.034,0.13,0.75,0.3,9.0,0.45,0.02,2.0,0.075,20.0,1.5058,0.0229
0.165,0.068,0.13,1.5,1.0,9.0,0.15,0.1,4.0,0.075,40.0,0.7854,0.0529
0.099,0.034,0.026,0.75,0.3,15.0,0.45,0.02,2.0,0.225,20.0,1.3666,0.0506
0.099,0.034,0.078,0.75,0.3,15.0,0.45,0.02,2.0,0.075,20.0,1.4147,0.0535
0.165,0.034,0.026,0.75,0.1,15.0,0.45,0.06,2.0,0.075,20.0,1.7971,0.0581
0.165,0.0204,0.026,0.75,0.3,15.0,0.45,0.06,2.0,0.075,20.0,1.4963,0.0238
0.33,0.0204,0.078,1.5,1.0,9.0,0.15,0.2,4.0,0.075,40.0,0.8425,0.0232
0.033,0.034,0.026,0.75,0.3,15.0,0.45,0.1,2.0,0.225,20.0,1.2733,0.0514
0.165,0.0068,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.075,40.0,2.5029,0.0114
0.033,0.0204,0.026,1.5,0.3,9.0,0.45,0.1,4.0,0.075,40.0,2.2168,0.0315
0.033,0.034,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.225,40.0,2.2671,0.1244
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.02,2.0,0.075,4.0,1.6767,0.1015
0.033,0.0204,0.078,1.5,0.5,9.0,0.45,0.1,4.0,0.075,40.0,1.7315,0.0323
0.033,0.0068,0.078,1.5,1.0,9.0,0.45,0.06,4.0,0.075,40.0,0.7375,0.0839
0.33,0.0068,0.026,1.5,0.1,9.0,0.45,0.1,4.0,0.075,40.0,2.6104,0.0278
0.033,0.0068,0.026,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.7615,0.0397
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.06,0.4,0.075,20.0,1.2222,0.0141
0.099,0.0068,0.026,0.15,0.1,15.0,0.75,0.06,2.0,0.375,4.0,1.2127,0.1134
0.033,0.034,0.078,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.7697,0.0749
0.165,0.068,0.13,1.5,0.1,9.0,0.45,0.06,4.0,0.075,40.0,2.3605,0.089
0.033,0.0204,0.026,0.75,0.5,9.0,0.75,0.02,2.0,0.075,20.0,0.8842,0.0143
0.33,0.068,0.078,1.5,0.3,9.0,0.45,0.06,4.0,0.075,40.0,2.1548,0.0085
0.033,0.0068,0.026,1.5,0.5,9.0,0.75,0.06,4.0,0.075,40.0,1.7668,0.0106
0.165,0.034,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.075,40.0,2.5026,0.0369
0.033,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,2.3208,0.0456
0.099,0.0204,0.13,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,2.4458,0.05
0.165,0.0204,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,2.4821,0.1064
0.099,0.034,0.026,1.5,0.3,9.0,0.75,0.1,4.0,0.075,40.0,2.2347,0.0492
0.099,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.225,40.0,2.6158,0.041
0.099,0.034,0.026,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,2.6183,0.1062
0.33,0.0068,0.078,1.5,0.1,9.0,0.75,0.1,4.0,0.075,40.0,2.6625,0.023
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.1,2.0,0.075,40.0,2.7198,0.0382
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.06,2.0,0.075,40.0,2.748,0.0814
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,2.9347,0.0022
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.225,40.0,2.9598,0.0442
0.099,0.0068,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,3.2029,0.0818
0.099,0.0204,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.9887,0.1319
0.165,0.0068,0.026,1.5,0.3,9.0,1.5,0.1,4.0,0.075,40.0,2.6994,0.0327
0.033,0.0068,0.026,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,2.5399,0.0246
0.165,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,3.004,0.0598
0.033,0.0068,0.078,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,2.3741,0.1282
0.165,0.068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,3.0611,0.066
0.033,0.068,0.13,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.8281,0.0483
0.099,0.0204,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.075,40.0,2.9922,0.0819
0.033,0.0068,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,3.0465,0.0525
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.375,40.0,3.283,0.1397
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,3.1164,0.2128
0.33,0.034,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,3.0256,0.1391
0.165,0.034,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.375,40.0,3.0277,0.0178
0.165,0.068,0.078,1.5,0.3,9.0,1.5,0.06,4.0,0.075,40.0,2.5422,0.0957
0.099,0.068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,3.0136,0.0486
0.33,0.0204,0.026,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,3.4279,0.0511
0.33,0.068,0.26,1.5,0.1,30.0,1.5,0.2,4.0,0.75,40.0,1.0353,0.0319
0.33,0.068,0.26,0.45,1.0,30.0,1.5,0.2,4.0,0.75,40.0,-0.0284,0.0049
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.8211,0.0802
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,1.0,0.1025
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.9273,0.0509
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,1.1267,0.0359
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,3.1212,0.1008
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,3.1549,0.1575
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.9612,0.0471
